,Word,Graphemes,Word Length,Number of Graphemes,Number of Vowels,Number of Consonants,Characters per Grapheme
134,abbreviatory,a-bb-re-v-i-a-t-or-y,12,9,5,7,1.3333333333333333
135,abbreviature,a-bb-re-v-i-a-t-ure,12,8,6,6,1.5
136,abbreviatures,a-bb-re-v-i-a-t-ure-s,13,9,6,7,1.4444444444444444
137,abbs,a-bb-s,4,3,1,3,1.3333333333333333
138,abcee,a-b-c-ee,5,4,3,2,1.25
139,abcees,a-b-c-ee-s,6,5,3,3,1.2
140,abcoulomb,a-b-c-oul-o-mb,9,6,4,5,1.5
141,abcoulombs,a-b-c-oul-o-mb-s,10,7,4,6,1.4285714285714286
142,abdabs,a-b-d-a-b-s,6,6,2,4,1.0
143,abdicable,a-b-di-c-a-b-le,9,7,4,5,1.2857142857142858
144,abdicant,a-b-di-c-a-nt,8,6,3,5,1.3333333333333333
145,abdicants,a-b-di-c-a-nt-s,9,7,3,6,1.2857142857142858
146,abdicate,a-b-di-c-a-te,8,6,4,4,1.3333333333333333
147,abdicated,a-b-di-c-a-te-d,9,7,4,5,1.2857142857142858
148,abdicates,a-b-di-c-a-te-s,9,7,4,5,1.2857142857142858
149,abdicating,a-b-di-c-a-t-i-ng,10,8,4,6,1.25
150,abdication,a-b-di-c-a-ti-o-n,10,8,5,5,1.25
151,abdications,a-b-di-c-a-ti-o-n-s,11,9,5,6,1.2222222222222223
152,abdicative,a-b-di-c-a-ti-ve,10,7,5,5,1.4285714285714286
153,abdicator,a-b-di-c-a-t-or,9,7,4,5,1.2857142857142858
154,abdicators,a-b-di-c-a-t-or-s,10,8,4,6,1.25
155,abdomen,a-bd-o-me-n,7,5,3,4,1.4
156,abdomens,a-bd-o-me-n-s,8,6,3,5,1.3333333333333333
157,abdomina,a-bd-o-m-i-n-a,8,7,4,4,1.1428571428571428
158,abdominal,a-bd-o-m-i-n-a-l,9,8,4,5,1.125
159,abdominally,a-bd-o-m-i-n-a-ll-y,11,9,4,7,1.2222222222222223
160,abdominals,a-bd-o-m-i-n-a-l-s,10,9,4,6,1.1111111111111112
161,abdominoplasty,a-bd-o-m-i-n-o-p-l-as-t-y,14,12,5,9,1.1666666666666667
162,abdominous,a-bd-o-m-i-n-ous,10,7,5,5,1.4285714285714286
163,abduce,a-bd-u-ce,6,4,3,3,1.5
164,abduced,a-bd-u-ce-s,7,5,3,4,1.4
165,abducens,a-bd-u-ce-n-s,8,6,3,5,1.3333333333333333
166,abducent,a-bd-u-ce-nt,8,5,3,5,1.6
167,abducentes,a-bd-u-ce-nt-es,10,6,4,6,1.6666666666666667
168,abduces,a-bd-u-c-es,7,5,3,4,1.4
169,abducing,a-bd-u-c-i-ng,8,6,3,5,1.3333333333333333
170,abduct,a-bd-u-ct,6,4,2,4,1.5
171,abducted,a-bd-u-ct-ed,8,5,3,5,1.6
172,abductee,a-bd-u-ct-ee,8,5,4,4,1.6
173,abductees,a-bd-u-ct-ee-s,9,6,4,5,1.5
174,abducting,a-bd-u-c-ti-ng,9,6,3,6,1.5
175,abduction,a-bd-u-c-ti-o-n,9,7,4,5,1.2857142857142858
176,abductions,a-bd-u-c-ti-o-n-s,10,8,4,6,1.25
177,abductor,a-bd-u-c-t-or,8,6,3,5,1.3333333333333333
178,abductores,a-bd-u-c-t-or-es,10,7,4,6,1.4285714285714286
179,abductors,a-bd-u-c-t-or-s,9,7,3,6,1.2857142857142858
180,abducts,a-bd-u-ct-s,7,5,2,5,1.4
181,abeam,a-b-ea-m,5,4,3,2,1.25
182,abear,a-b-ea-r,5,4,3,2,1.25
183,abearing,a-b-ea-r-i-ng,8,6,4,4,1.3333333333333333
184,abears,a-b-ea-r-s,6,5,3,3,1.2
185,abecedarian,a-b-e-ce-d-ar-ia-n,11,8,6,5,1.375
186,abecedarians,a-b-e-ce-d-ar-ia-n-s,12,9,6,6,1.3333333333333333
187,abed,a-b-ed,4,3,2,2,1.3333333333333333
188,abegging,a-b-e-gg-i-ng,8,6,3,5,1.3333333333333333
189,abeigh,a-b-ei-gh,6,4,3,3,1.5
190,abele,a-b-e-le,5,4,3,2,1.25
191,abeles,a-b-e-le-s,6,5,3,3,1.2
192,abelia,a-b-e-l-ia,6,5,4,2,1.2
193,abelian,a-b-e-l-ia-n,7,6,4,3,1.1666666666666667
194,abelias,a-b-e-l-ia-s,7,6,4,3,1.1666666666666667
195,abelmosk,a-b-e-l-m-os-k,8,7,3,5,1.1428571428571428
196,abelmosks,a-b-e-l-m-os-k-s,9,8,3,6,1.125
197,aber,a-b-er,4,3,2,2,1.3333333333333333
198,aberdevine,a-b-er-de-v-i.e-n,10,7,5,5,1.4285714285714286
199,aberdevines,a-b-er-de-v-i.e-n-s,11,8,5,6,1.375
200,abernethies,a-b-er-ne-th-ie-s,11,7,5,6,1.5714285714285714
201,abernethy,a-b-er-ne-th-y,9,6,3,6,1.5
202,aberrance,a-b-er-r-a-n-ce,9,7,4,5,1.2857142857142858
203,aberrances,a-b-er-r-a-n-ce-s,10,8,4,6,1.25
204,aberrancies,a-b-er-r-a-n-ci-es,11,8,5,6,1.375
205,aberrancy,a-b-er-r-a-n-c-y,9,8,3,6,1.125
206,aberrant,a-b-er-r-a-nt,8,6,3,5,1.3333333333333333
207,aberrantly,a-b-er-r-a-nt-l-y,10,8,3,7,1.25
208,aberrants,a-b-er-r-a-nt-s,9,7,3,6,1.2857142857142858
209,aberrate,a-b-er-r-at-e,8,6,4,4,1.3333333333333333
210,aberrated,a-b-er-r-at-ed,9,6,4,5,1.5
211,aberrates,a-b-er-r-at-es,9,6,4,5,1.5
212,aberrating,a-b-er-r-at-i-ng,10,7,4,6,1.4285714285714286
213,aberration,a-b-er-r-a-ti-o-n,10,8,5,5,1.25
214,aberrational,a-b-er-r-a-ti-o-n-al,12,9,6,6,1.3333333333333333
215,aberrations,a-b-er-r-a-ti-o-n-s,11,9,5,6,1.2222222222222223
216,abers,a-b-er-s,5,4,2,3,1.25
217,abessive,a-b-e-ssi-v-e,8,6,4,4,1.3333333333333333
218,abessives,a-b-e-ssi-v-e-s,9,7,4,5,1.2857142857142858
219,abet,a-b-et,4,3,2,2,1.3333333333333333
220,abetment,a-b-et-me-nt,8,5,3,5,1.6
221,abetments,a-b-et-me-nt-s,9,6,3,6,1.5
222,abets,a-b-et-s,5,4,2,3,1.25
223,abettal,a-b-et-t-al,7,5,3,4,1.4
224,abettals,a-b-et-t-al-s,8,6,3,5,1.3333333333333333
225,abetted,a-b-et-te-d,7,5,3,4,1.4
226,abetter,a-b-et-te-r,7,5,3,4,1.4
227,abetters,a-b-et-te-r-s,8,6,3,5,1.3333333333333333
228,abetting,a-b-et-t-i-ng,8,6,3,5,1.3333333333333333
229,abettor,a-b-et-t-or,7,5,3,4,1.4
230,abettors,a-b-et-t-or-s,8,6,3,5,1.3333333333333333
231,aaa,a-aa,3,2,3,0,1.5
232,aaron,aa-r-o-n,5,4,3,2,1.25
233,ab,a-b,2,2,1,1,1.0
234,abandoned,a-b-a-nd-o-ne-d,9,7,4,5,1.2857142857142858
235,abc,a-b-c,3,3,1,2,1.0
236,aberdeen,a-b-er-d-ee-n,8,6,4,4,1.3333333333333333
237,abilities,a-b-i-l-it-ie-s,9,7,5,4,1.2857142857142858
238,ability,a-b-i-l-it-y,7,6,3,4,1.1666666666666667
239,able,a-b-le,4,3,2,2,1.3333333333333333
240,aboriginal,a-b-or-i-gi-n-al,10,7,5,5,1.4285714285714286
241,abortion,a-b-or-ti-o-n,8,6,4,4,1.3333333333333333
242,about,a-b-ou-t,5,4,3,2,1.25
243,above,a-b-o-ve,5,4,3,2,1.25
244,abraham,a-b-r-ah-a-m,7,6,3,4,1.1666666666666667
245,abroad,a-b-r-oa-d,6,5,3,3,1.2
246,abs,a-b-s,3,3,1,2,1.0
247,absence,a-b-se-n-ce,7,5,3,4,1.4
248,absent,a-b-se-nt,6,4,2,4,1.5
249,absolute,a-b-s-ol-u-te,8,6,4,4,1.3333333333333333
250,absolutely,a-b-s-ol-u-te-l-y,10,8,4,6,1.25
251,absorption,a-b-s-orp-ti-o-n,10,7,4,6,1.4285714285714286
252,abstract,a-b-st-r-a-ct,8,6,2,6,1.3333333333333333
253,abstracts,a-b-st-r-a-ct-s,9,7,2,7,1.2857142857142858
254,abu,a-bu,3,2,2,1,1.5
255,abuse,a-bu-se,5,3,3,2,1.6666666666666667
256,ac,a-c,2,2,1,1,1.0
257,academic,a-c-a-de-m-i-c,8,7,4,4,1.1428571428571428
258,academics,a-c-a-de-m-i-c-s,9,8,4,5,1.125
259,academy,a-c-a-de-m-y,7,6,3,4,1.1666666666666667
260,acc,a-cc,3,2,1,2,1.5
261,accent,a-cc-e-nt,6,4,2,4,1.5
262,accept,a-cc-e-pt,6,4,2,4,1.5
263,acceptable,a-cc-e-pt-a-b-le,10,7,4,6,1.4285714285714286
264,acceptance,a-cc-e-pt-anc-e,10,6,4,6,1.6666666666666667
265,accepted,a-cc-e-pt-ed,8,5,3,5,1.6
266,accepting,a-cc-e-pt-i-ng,9,6,3,6,1.5
267,accepts,a-cc-e-pt-s,7,5,2,5,1.4
268,access,a-cc-e-ss,6,4,2,4,1.5
269,accessed,a-cc-e-ss-ed,8,5,3,5,1.6
270,accessibility,a-cc-e-ss-i-b-i-l-i-t-y,13,11,5,8,1.1818181818181819
271,accessible,a-cc-e-ss-i-b-le,10,7,4,6,1.4285714285714286
272,accessing,a-cc-e-ss-i-ng,9,6,3,6,1.5
273,accessories,a-cc-e-ss-or-ie-s,11,7,5,6,1.5714285714285714
274,accessory,a-cc-e-ss-or-y,9,6,3,6,1.5
275,accident,a-cc-i-de-nt,8,5,3,5,1.6
276,accidents,a-cc-i-de-nt-s,9,6,3,6,1.5
277,accommodate,a-cc-o-mm-o-d-a-t-e,11,9,5,6,1.2222222222222223
278,accommodation,a-cc-o-mm-o-d-a-ti-o-n,13,10,6,7,1.3
279,accommodations,a-cc-o-mm-o-d-a-ti-o-n-s,14,11,6,8,1.2727272727272727
280,accompanied,a-cc-o-m-p-a-n-ie-d,11,9,5,6,1.2222222222222223
281,accompanying,a-cc-o-m-p-a-n-y-i-ng,12,10,4,8,1.2
282,accomplish,a-cc-o-m-p-l-i-sh,10,8,3,7,1.25
283,accomplished,a-cc-o-m-p-l-i-sh-ed,12,9,4,8,1.3333333333333333
284,accordance,a-cc-or-d-anc-e,10,6,4,6,1.6666666666666667
285,according,a-cc-or-di-ng,9,5,3,6,1.8
286,accordingly,a-cc-or-di-ng-l-y,11,7,3,8,1.5714285714285714
287,account,a-cc-ou-nt,7,4,3,4,1.75
288,accountability,a-cc-ou-nt-a-b-i-l-i-t-y,14,11,6,8,1.2727272727272727
289,accounting,a-cc-ou-nt-i-ng,10,6,4,6,1.6666666666666667
290,accounts,a-cc-ou-nt-s,8,5,3,5,1.6
291,accreditation,a-cc-re-di-t-a-ti-o-n,13,9,6,7,1.4444444444444444
292,accredited,a-cc-re-di-t-ed,10,6,4,6,1.6666666666666667
293,accuracy,a-cc-ur-a-c-y,8,6,3,5,1.3333333333333333
294,accurate,a-cc-ur-at-e,8,5,4,4,1.6
295,accurately,a-cc-ur-at-e-l-y,10,7,4,6,1.4285714285714286
296,accused,a-cc-u-se-d,7,5,3,4,1.4
297,ace,a-ce,3,2,2,1,1.5
298,acer,a-ce-r,4,3,2,2,1.3333333333333333
299,achieve,a-ch-ie-ve,7,4,4,3,1.75
300,achieved,a-ch-ie-ve-d,8,5,4,4,1.6
301,achievement,a-ch-ie-ve-me-nt,11,6,5,6,1.8333333333333333
302,achievements,a-ch-ie-ve-me-nt-s,12,7,5,7,1.7142857142857142
303,achieving,a-ch-ie-v-i-ng,9,6,4,5,1.5
304,acid,a-ci-d,4,3,2,2,1.3333333333333333
305,acids,a-ci-d-s,5,4,2,3,1.25
306,acknowledge,a-ck-n-o-w-le-dge,11,7,4,7,1.5714285714285714
307,acknowledged,a-ck-n-o-w-le-dge-d,12,8,4,8,1.5
308,acm,a-c-m,3,3,1,2,1.0
309,acne,a-c-ne,4,3,2,2,1.3333333333333333
310,acoustic,a-c-ou-st-i-c,8,6,4,4,1.3333333333333333
311,acquire,a-cqu-ire,7,3,4,3,2.3333333333333335
312,acquired,a-cqu-ire-d,8,4,4,4,2.0
313,acquisition,a-cqu-is-i-ti-o-n,11,7,6,5,1.5714285714285714
314,acquisitions,a-cqu-is-i-ti-o-n-s,12,8,6,6,1.5
315,acre,a-c-re,4,3,2,2,1.3333333333333333
316,acres,a-c-re-s,5,4,2,3,1.25
317,acrobat,a-c-r-o-b-at,7,6,3,4,1.1666666666666667
318,across,a-c-r-o-ss,6,5,2,4,1.2
319,acrylic,a-c-r-y-l-i-c,7,7,2,5,1.0
320,act,a-ct,3,2,1,2,1.5
321,acting,a-ct-i-ng,6,4,2,4,1.5
322,action,a-c-ti-o-n,6,5,3,3,1.2
323,actions,a-c-ti-o-n-s,7,6,3,4,1.1666666666666667
324,activated,a-ct-i-v-a-t-ed,9,7,4,5,1.2857142857142858
325,activation,a-ct-i-v-a-ti-o-n,10,8,5,5,1.25
326,active,a-ct-i-ve,6,4,3,3,1.5
327,actively,a-ct-i-ve-l-y,8,6,3,5,1.3333333333333333
328,activists,a-ct-i-v-is-ts,9,6,3,6,1.5
329,activities,a-ct-i-v-it-ie-s,10,7,5,5,1.4285714285714286
330,activity,a-ct-i-v-i-t-y,8,7,3,5,1.1428571428571428
331,actor,a-ct-or,5,3,2,3,1.6666666666666667
332,actors,a-ct-or-s,6,4,2,4,1.5
333,actress,a-ct-re-ss,7,4,2,5,1.75
334,acts,a-ct-s,4,3,1,3,1.3333333333333333
335,actual,a-ct-ua-l,6,4,3,3,1.5
336,actually,a-ct-ua-ll-y,8,5,3,5,1.6
337,acute,a-cu-te,5,3,3,2,1.6666666666666667
338,ad,a-d,2,2,1,1,1.0
339,ada,a-d-a,3,3,2,1,1.0
340,adam,a-d-a-m,4,4,2,2,1.0
341,adams,a-d-a-m-s,5,5,2,3,1.0
342,adaptation,a-d-a-p-ti-o-n,10,7,5,5,1.4285714285714286
343,adapted,a-d-a-p-t-ed,7,6,3,4,1.1666666666666667
344,adapter,a-d-a-p-t-er,7,6,3,4,1.1666666666666667
345,adapters,a-d-a-p-t-er-s,8,7,3,5,1.1428571428571428
346,adaptive,a-d-a-p-t-i.e-v,8,7,4,4,1.1428571428571428
347,adaptor,a-d-a-p-t-or,7,6,3,4,1.1666666666666667
348,add,a-dd,3,2,1,2,1.5
349,added,a-dd-ed,5,3,2,3,1.6666666666666667
350,addiction,a-dd-i-c-ti-o-n,9,7,4,5,1.2857142857142858
351,adding,a-dd-i-ng,6,4,2,4,1.5
352,addition,a-dd-i-ti-o-n,8,6,4,4,1.3333333333333333
353,additional,a-dd-i-ti-o-n-al,10,7,5,5,1.4285714285714286
354,additionally,a-dd-i-ti-o-n-al-l-y,12,9,5,7,1.3333333333333333
355,additions,a-dd-i-ti-o-n-s,9,7,4,5,1.2857142857142858
356,address,a-dd-re-ss,7,4,2,5,1.75
357,addressed,a-dd-re-ss-ed,9,5,3,6,1.8
358,addresses,a-dd-re-ss-es,9,5,3,6,1.8
359,addressing,a-dd-re-ss-i-ng,10,6,3,7,1.6666666666666667
360,adds,a-dd-s,4,3,1,3,1.3333333333333333
361,adelaide,a-de-l-ai-de,8,5,5,3,1.6
362,adequate,a-de-qu-a-te,8,5,5,3,1.6
363,adidas,a-di-d-a-s,6,5,3,3,1.2
364,adjacent,a-dj-a-ce-nt,8,5,3,5,1.6
365,adjust,a-dj-u-st,6,4,2,4,1.5
366,adjustable,a-dj-u-st-a-b-le,10,7,4,6,1.4285714285714286
367,adjusted,a-dj-u-st-ed,8,5,3,5,1.6
368,adjustment,a-dj-u-st-me-nt,10,6,3,7,1.6666666666666667
369,adjustments,a-dj-u-st-me-nt-s,11,7,3,8,1.5714285714285714
370,admin,a-d-m-i-n,5,5,2,3,1.0
371,administered,a-d-m-i-n-i-st-er-ed,12,9,5,7,1.3333333333333333
372,administration,a-d-m-i-n-i-st-r-a-ti-o-n,14,12,6,8,1.1666666666666667
373,administrative,a-d-m-i-n-i-st-r-a-t-i-v-e,14,13,6,8,1.0769230769230769
374,administrator,a-d-m-i-n-i-st-r-a-t-or,13,11,5,8,1.1818181818181819
375,administrators,a-d-m-i-n-i-st-r-a-t-or-s,14,12,5,9,1.1666666666666667
376,admission,a-d-m-i-s-si-o-n,9,8,4,5,1.125
377,admissions,a-d-m-i-s-si-o-n-s,10,9,4,6,1.1111111111111112
378,admit,a-d-m-it,5,4,2,3,1.25
379,admitted,a-d-m-it-te-d,8,6,3,5,1.3333333333333333
380,adobe,a-d-o-b-e,5,5,3,2,1.0
381,adolescent,a-d-ol-es-ce-nt,10,6,4,6,1.6666666666666667
382,adopt,a-d-o-pt,5,4,2,3,1.25
383,adopted,a-d-o-pt-ed,7,5,3,4,1.4
384,adoption,a-d-o-p-ti-o-n,8,7,4,4,1.1428571428571428
385,adrian,a-d-r-i-a-n,6,6,3,3,1.0
386,ads,a-d-s,3,3,1,2,1.0
387,adsl,a-d-s-l,4,4,1,3,1.0
388,adult,a-d-u-l-t,5,5,2,3,1.0
389,adults,a-d-u-l-t-s,6,6,2,4,1.0
390,advance,a-d-v-anc-e,7,5,3,4,1.4
391,advanced,a-d-v-anc-ed,8,5,3,5,1.6
392,advancement,a-d-v-anc-e-me-nt,11,7,4,7,1.5714285714285714
393,advances,a-d-v-anc-es,8,5,3,5,1.6
394,advantage,a-d-v-an-t-a.e-g,9,7,4,5,1.2857142857142858
395,advantages,a-d-v-an-t-a.e-g-s,10,8,4,6,1.25
396,adventure,a-d-v-e-nt-ure,9,6,4,5,1.5
397,adventures,a-d-v-e-nt-ure-s,10,7,4,6,1.4285714285714286
398,adverse,a-d-v-er-se,7,5,3,4,1.4
399,advert,a-d-v-er-t,6,5,2,4,1.2
400,advertise,a-d-v-er-ti-se,9,6,4,5,1.5
401,advertisement,a-d-v-er-ti-se-me-nt,13,8,5,8,1.625
402,advertisements,a-d-v-er-ti-se-me-nt-s,14,9,5,9,1.5555555555555556
403,advertiser,a-d-v-er-ti-se-r,10,7,4,6,1.4285714285714286
404,advertisers,a-d-v-er-ti-se-r-s,11,8,4,7,1.375
405,advertising,a-d-v-er-ti-si-ng,11,7,4,7,1.5714285714285714
406,advice,a-d-v-i.e-c,6,5,3,3,1.2
407,advise,a-d-v-i.e-s,6,5,3,3,1.2
408,advised,a-d-v-i.e-s-d,7,6,3,4,1.1666666666666667
409,advisor,a-d-v-is-or,7,5,3,4,1.4
410,advisors,a-d-v-is-or-s,8,6,3,5,1.3333333333333333
411,advisory,a-d-v-is-or-y,8,6,3,5,1.3333333333333333
412,advocacy,a-d-v-o-c-a-c-y,8,8,3,5,1.0
413,advocate,a-d-v-o-c-a-te,8,7,4,4,1.1428571428571428
414,adware,a-d-w-a.e-r,6,5,3,3,1.2
415,ae,ae,2,1,2,0,2.0
416,aerial,ae-r-ia-l,6,4,4,2,1.5
417,aerospace,ae-r-o-s-p-a.e-c,9,7,5,4,1.2857142857142858
